"songId","e610e291-4281-4542-89c7-27b3324e1b21","title","Favorite Secrets","albumartist","Mystery Club","album","Waylon Thornton","genre","","duration","75.0","path",".\\songs\\02_-_Favorite_Secrets.mp3"
"songId","074dc2ca-58fb-471a-8de8-b1d206781f8f","title","Away the Mysterious Sea","albumartist","Mysterious Wild","album","Art Of Escapism","genre","Ambient Electronic","duration","164.0","path",".\\songs\\Art_Of_Escapism_Away_the_Mysterious_Sea.mp3"
"songId","3493398a-2c14-43b5-a927-9e4543ab6fcd","title","Fater Lee","albumartist","Free Beats Sel. 3","album","Black Ant","genre","Hip-Hop","duration","143.0","path",".\\songs\\Black_Ant_-_01_-_Fater_Lee.mp3"
"songId","cb9c8e13-75a2-433d-8c95-dc91ba0de4dc","title","Battle (Boss)","albumartist","Nameless: The Hackers RPG Soundtrack","album","BoxCat Games","genre","Soundtrack","duration","52.0","path",".\\songs\\BoxCat_Games_-_05_-_Battle_Boss.mp3"
"songId","e9720c1b-c10e-4357-b2b4-51dd9f720c5d","title","Epic Song","albumartist","Nameless: The Hackers RPG Soundtrack","album","BoxCat Games","genre","Soundtrack","duration","54.0","path",".\\songs\\BoxCat_Games_-_10_-_Epic_Song.mp3"
"songId","a1c55188-125b-4e5b-b3e5-171362ce1841","title","As Colorful As Ever","albumartist","Layers","album","Broke For Free","genre","Electronic","duration","234.0","path",".\\songs\\Broke_For_Free_-_01_-_As_Colorful_As_Ever.mp3"
"songId","ae7f71c9-5b77-4c00-b30c-a5d98cca047d","title","Night Owl","albumartist","Directionless EP","album","Broke For Free","genre","Electronic","duration","194.0","path",".\\songs\\Broke_For_Free_-_01_-_Night_Owl.mp3"
"songId","b2e17485-d28c-4ea4-9a15-5fb87fd681e5","title","Something Elated","albumartist","Something EP","album","Broke For Free","genre","Electronic","duration","234.0","path",".\\songs\\Broke_For_Free_-_05_-_Something_Elated.mp3"
"songId","d5c21fd6-c033-419e-8ce0-4ed89e316f58","title","O Tannenbaum","albumartist","A Very Badgerland Christmas (2011)","album","Badgerland","genre","Electronic","duration","76.0","path",".\\songs\\Dan_Lerch_-_09_-_O_Tannenbaum.mp3"
"songId","c6913b8d-678d-4a71-b04c-a27bd23841a8","title","Ludwig at midnight","albumartist","the deserted concert hall","album","Dee Yan-Key","genre","Classical; Neoclassical; Jazz; Ambient","duration","380.0","path",".\\songs\\Dee_Yan-Key_-_02_-_Ludwig_at_midnight.mp3"
"songId","dca88add-2284-4008-a43d-4bb602b912fb","title","Springish","albumartist","...Plays Guitar","album","Gillicuddy","genre","Rock","duration","143.0","path",".\\songs\\Gillicuddy_-_05_-_Springish.mp3"
"songId","d2f3d4ea-5e14-4d6c-8f2c-898dab256466","title","Stance Gives You Balance","albumartist","Hogan Grip - Stance Gives You Balance","album","junior85","genre","International","duration","331.0","path",".\\songs\\Hogan_Grip_-_03_-_Stance_Gives_You_Balance.mp3"
"songId","65e08c75-ef03-40a7-8b38-2b01b0eebcd3","title","The last ones","albumartist","Smoke Factory (Excerpt)","album","Jahzzar","genre","Rock","duration","180.0","path",".\\songs\\Jahzzar_-_01_-_The_last_ones.mp3"
"songId","7a3705ae-3b3d-4fcd-bb8a-7e978c0b6f57","title","Siesta","albumartist","Traveller's Guide (Excerpt)","album","Jahzzar","genre","Pop","duration","139.0","path",".\\songs\\Jahzzar_-_05_-_Siesta.mp3"
"songId","6034f044-4a8d-4eec-91f2-356b3a443f32","title","RUNNING WATERS","albumartist","Audionautix: Acoustic","album","Jason Shaw","genre","Country","duration","166.0","path",".\\songs\\Jason_Shaw_-_RUNNING_WATERS.mp3"
"songId","e5b66510-107f-4f12-9fc6-11969d951638","title","Moonlight Reprise","albumartist","Irsen's Tale","album","Kai Engel","genre","Classical","duration","181.0","path",".\\songs\\Kai_Engel_-_04_-_Moonlight_Reprise.mp3"
"songId","6d65f8f0-e647-40ca-a196-49be555f54ae","title","Ghost Dance","albumartist","Classical Sampler","album","Kevin MacLeod","genre","Classical","duration","73.0","path",".\\songs\\Kevin_MacLeod_-_Ghost_Dance.mp3"
"songId","24da052f-3260-4a45-b577-c3f4481a3838","title","It's Your Birthday!","albumartist","The New Birthday Song Contest","album","The New Happy Birthday Song Contest","genre","","duration","36.0","path",".\\songs\\Monk_Turner__Fascinoma_-_01_-_Its_Your_Birthday.mp3"
"songId","bf2f967c-25b6-4fac-916c-8b07777aaf8d","title","Safe and Clear","albumartist","Pretty and Invisible","album","Monplaisir","genre","Rock","duration","245.0","path",".\\songs\\Monplaisir_-_04_-_Safe_and_Clear.mp3"
"songId","56090c80-d8e9-436c-8ac9-03d26733901f","title","Starling","albumartist","Solo Instruments","album","Podington Bear","genre","Electronic","duration","105.0","path",".\\songs\\Podington_Bear_-_Starling.mp3"
"songId","97d310c5-ae99-4833-8639-dea9054d3e37","title","Requiem for a Fish","albumartist","Tales Of A Dead Fish","album","The Freak Fandango Orchestra","genre","International","duration","220.0","path",".\\songs\\The_Freak_Fandango_Orchestra_-_01_-_Requiem_for_a_Fish.mp3"
"songId","93c14221-105a-4075-8e2f-9c4d563966a9","title","Hachiko (The Faithtful Dog)","albumartist","Wake Up","album","The Kyoto Connection","genre","Pop","duration","185.0","path",".\\songs\\The_Kyoto_Connection_-_09_-_Hachiko_The_Faithtful_Dog.mp3"
"songId","50f8e46e-40af-4170-a995-13725607c2dc","title","Enthusiast","albumartist","Enthusiast","album","Tours","genre","Electronic","duration","171.0","path",".\\songs\\Tours_-_01_-_Enthusiast.mp3"
